Day,Time,Room Number
We,11:10 AM-12:05 PM,UB100203
Sa,09:00 AM-09:55 AM,UB100203
We,09:00 AM-09:55 AM,UB100204
Sa,09:30 AM-10:50 AM,UB10102
Th,09:30 AM-10:50 AM,UB10102
Sa,08:00 AM-09:20 AM,UB10102
Th,08:00 AM-09:20 AM,UB10102
Sa,11:00 AM-12:20 PM,UB10102
Th,11:00 AM-12:20 PM,UB10102
Sa,08:00 AM-09:20 AM,UB10103
Th,08:00 AM-09:20 AM,UB10103
Su,05:00 PM-06:20 PM,UB10102
Tu,05:00 PM-06:20 PM,UB10102
Sa,05:00 PM-06:20 PM,UB10102
Th,05:00 PM-06:20 PM,UB10102
Mo,08:00 AM-09:20 AM,UB10102
We,08:00 AM-09:20 AM,UB10102
Mo,02:00 PM-03:20 PM,UB10102
We,02:00 PM-03:20 PM,UB10102
Mo,05:00 PM-06:20 PM,UB10102
We,05:00 PM-06:20 PM,UB10102
Sa,09:30 AM-10:50 AM,UB10103
Th,09:30 AM-10:50 AM,UB10103
Sa,02:00 PM-03:20 PM,UB10102
Th,02:00 PM-03:20 PM,UB10102
Mo,11:00 AM-12:20 PM,UB10102
We,11:00 AM-12:20 PM,UB10102
Sa,05:00 PM-06:20 PM,UB10103
Th,05:00 PM-06:20 PM,UB10103
Sa,03:30 PM-04:50 PM,UB10102
Th,03:30 PM-04:50 PM,UB10102
Su,11:00 AM-12:20 PM,UB10301
Tu,11:00 AM-12:20 PM,UB10301
Mo,11:00 AM-12:20 PM,UB10302
We,11:00 AM-12:20 PM,UB10302
Su,02:00 PM-03:20 PM,UB21203
Tu,02:00 PM-03:20 PM,UB21203
Mo,02:00 PM-03:20 PM,UB21203
We,02:00 PM-03:20 PM,UB21203
Su,02:00 PM-03:20 PM,UB10301
Tu,02:00 PM-03:20 PM,UB10301
Mo,12:30 PM-01:50 PM,UB10301
We,12:30 PM-01:50 PM,UB10301
Sa,11:00 AM-12:20 PM,UB80202
Su,11:00 AM-12:20 PM,UB40203
Su,12:30 PM-01:50 PM,UB40203
Th,11:00 AM-12:20 PM,UB80202
Sa,12:30 PM-01:50 PM,UB80202
Su,08:00 AM-09:20 AM,UB40203
Su,09:30 AM-10:50 AM,UB40203
Th,12:30 PM-01:50 PM,UB80202
Sa,03:30 PM-04:50 PM,UB80202
Sa,08:00 AM-09:20 AM,UB41001
Sa,09:30 AM-10:50 AM,UB41001
Th,03:30 PM-04:50 PM,UB80202
Su,11:00 AM-12:20 PM,UB81401
Th,02:00 PM-03:20 PM,UB71103
Th,03:30 PM-04:50 PM,UB71103
Tu,11:00 AM-12:20 PM,UB81401
Su,09:30 AM-10:50 AM,UB80301
Tu,09:30 AM-10:50 AM,UB80301
We,11:00 AM-12:20 PM,UB40103
We,12:30 PM-01:50 PM,UB40103
Sa,10:00 AM-01:00 PM,UB100202
Sa,02:00 PM-05:05 PM,UB100202
Mo,08:00 AM-09:20 AM,UB80202
Th,08:00 AM-09:20 AM,UB40101
Th,09:30 AM-10:50 AM,UB40101
We,08:00 AM-09:20 AM,UB80202
Mo,09:30 AM-10:50 AM,UB80202
Th,11:00 AM-12:20 PM,UB40101
Th,12:30 PM-01:50 PM,UB40101
We,09:30 AM-10:50 AM,UB80202
Su,08:00 AM-09:20 AM,UB70501
Tu,08:00 AM-09:20 AM,UB70501
We,08:00 AM-09:20 AM,UB41003
We,09:30 AM-10:50 AM,UB41003
Su,09:30 AM-10:50 AM,UB70501
Tu,09:30 AM-10:50 AM,UB70501
We,02:00 PM-03:20 PM,UB71101
We,03:30 PM-04:50 PM,UB71101
Su,11:00 AM-12:20 PM,UB70501
Tu,11:00 AM-12:20 PM,UB70501
We,02:00 PM-03:20 PM,UB41003
We,03:30 PM-04:50 PM,UB41003
Su,12:30 PM-01:50 PM,UB70501
Tu,12:30 PM-01:50 PM,UB70501
We,02:00 PM-03:20 PM,UB41103
We,03:30 PM-04:50 PM,UB41103
Mo,08:00 AM-09:20 AM,UB70701
Th,08:00 AM-09:20 AM,UB40203
Th,09:30 AM-10:50 AM,UB40203
We,08:00 AM-09:20 AM,UB70701
Mo,09:30 AM-10:50 AM,UB70701
Th,11:00 AM-12:20 PM,UB40203
Th,12:30 PM-01:50 PM,UB40203
We,09:30 AM-10:50 AM,UB70701
Mo,09:30 AM-10:50 AM,UB80201
Th,02:00 PM-03:20 PM,UB40203
Th,03:30 PM-04:50 PM,UB40203
We,09:30 AM-10:50 AM,UB80201
Mo,11:00 AM-12:20 PM,UB80201
Th,08:00 AM-09:20 AM,UB80103
Th,09:30 AM-10:50 AM,UB80103
We,11:00 AM-12:20 PM,UB80201
Su,03:30 PM-04:50 PM,UB70403
Tu,03:30 PM-04:50 PM,UB70403
We,08:00 AM-09:20 AM,UB80103
We,09:30 AM-10:50 AM,UB80103
Su,08:00 AM-09:20 AM,UB80302
Tu,08:00 AM-09:20 AM,UB80302
We,08:00 AM-09:20 AM,UB80102
We,09:30 AM-10:50 AM,UB80102
Su,09:30 AM-10:50 AM,UB80302
Tu,09:30 AM-10:50 AM,UB80302
We,11:00 AM-12:20 PM,UB80102
We,12:30 PM-01:50 PM,UB80102
Mo,09:30 AM-10:50 AM,UB80301
Th,02:00 PM-03:20 PM,UB71102
Th,03:30 PM-04:50 PM,UB71102
We,09:30 AM-10:50 AM,UB80301
Su,11:00 AM-12:20 PM,UB70701
Tu,11:00 AM-12:20 PM,UB70701
We,02:00 PM-03:20 PM,UB80102
We,03:30 PM-04:50 PM,UB80102
Su,12:30 PM-01:50 PM,UB70701
Th,08:00 AM-09:20 AM,UB41201
Th,09:30 AM-10:50 AM,UB41201
Tu,12:30 PM-01:50 PM,UB70701
Su,03:30 PM-04:50 PM,UB70701
Th,11:00 AM-12:20 PM,UB41201
Th,12:30 PM-01:50 PM,UB41201
Tu,03:30 PM-04:50 PM,UB70701
Mo,12:30 PM-01:50 PM,UB40902
Th,02:00 PM-03:20 PM,UB80103
Th,03:30 PM-04:50 PM,UB80103
We,12:30 PM-01:50 PM,UB40902
Su,02:00 PM-03:20 PM,UB30303
Tu,02:00 PM-03:20 PM,UB30303
We,08:00 AM-09:20 AM,UB80403
We,09:30 AM-10:50 AM,UB80403
Su,11:00 AM-12:20 PM,UB70502
Th,11:00 AM-12:20 PM,UB80404
Th,12:30 PM-01:50 PM,UB80404
Tu,11:00 AM-12:20 PM,UB70502
Su,03:30 PM-04:50 PM,UB70402
Th,08:00 AM-09:20 AM,UB41101
Th,09:30 AM-10:50 AM,UB41101
